title,artist_combined,date,rank,spotify_id,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist
bad dreams,teddy swims,2025-01-11,59,3BntzKsnLf2pc0dsvE3Zav,48,2,-15,SK,4/2/2025,87,False,184577,I've Tried Everything But Therapy (Part 2),1/24/2025,0.707,0.68,8,-6.203,1,0.0884,0.274,0.0,0.0932,0.62,125.058,4,teddy swims
no pole,don toliver,2025-01-11,60,0eaVIYo2zeOaGJeqZ5TwYz,45,-1,5,SA,4/2/2025,89,True,187613,Love Sick (Deluxe),2/28/2023,0.328,0.631,5,-5.169,0,0.0465,0.0714,0.0,0.567,0.382,85.262,4,don toliver
close to you,gracie abrams,2025-01-11,63,5wbg8kepMFoMzHOEuxiI0q,46,-2,-7,IE,3/17/2025,83,False,225973,The Secret of Us,6/20/2024,0.586,0.72,6,-7.984,1,0.0775,0.0236,0.000124,0.0925,0.302,121.927,4,gracie abrams
diet pepsi,addison rae,2025-01-11,67,6MzofobZt2dm0Kf1hTThFz,50,0,0,SG,1/3/2025,85,False,169697,Diet Pepsi,8/9/2024,0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,4,addison rae
apple,charli xcx,2025-01-11,68,19RybK6XDbAVpcdxSbZL1o,46,1,-1,IE,10/18/2024,86,False,151739,BRAT,6/7/2024,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4,charli xcx
burning down,alex warren,2025-01-11,73,0ydx75YiFzLjjQknKFNFwt,30,-2,-5,NL,4/2/2025,83,False,179437,"You'll Be Alright, Kid (Chapter 1)",9/27/2024,0.499,0.674,10,-3.866,0,0.0389,0.0745,0.0,0.0645,0.442,171.892,4,alex warren
disease,lady gaga,2025-01-11,74,0T3Hw3kPj9T2E4UoaSXmfn,39,5,11,EE,3/10/2025,72,False,229997,MAYHEM,3/7/2025,0.554,0.928,11,-2.726,0,0.125,0.0401,0.0,0.496,0.411,100.963,4,lady gaga
gang baby,nle choppa,2025-01-11,76,76Ku9OBFK1NjMylR8r4WLK,48,2,2,RO,1/28/2025,82,True,138180,SLUT SZN,9/27/2024,0.92,0.699,11,-6.635,1,0.358,0.00768,0.0,0.0745,0.484,129.054,4,nle choppa
khe? / khé?,"rauw alejandro & romeo santos / rauw alejandro, romeo santos",2025-01-11,77,1YYfyJ2yCvGFCxwjsIqEK9,35,1,-1,VE,4/2/2025,89,False,206066,Cosa Nuestra,11/15/2024,0.687,0.627,7,-4.975,1,0.181,0.326,0.0,0.0893,0.47,155.865,4,rauw alejandro
rosones,tito double p,2025-01-11,79,0LTwdL5yZ6YOTEGUQPFuSN,23,1,1,SV,4/2/2025,90,True,177590,ROSONES,12/5/2024,0.802,0.726,1,-5.939,1,0.0318,0.704,9.7e-06,0.117,0.604,120.129,3,tito double p
juno,sabrina carpenter,2025-01-11,80,21B4gaTWnTkuSh77iWEXdS,34,0,16,NO,4/2/2025,87,True,223192,Short n' Sweet,8/23/2024,0.633,0.725,5,-4.257,1,0.0427,0.0461,0.0,0.205,0.64,130.504,4,sabrina carpenter
nadie,tito double p,2025-01-11,81,7sd6zMrgGpEa7NkQm9TRrg,24,-2,1,SV,4/2/2025,89,True,197031,NADIE,11/21/2024,0.702,0.843,7,-4.71,1,0.114,0.465,0.0,0.12,0.526,92.604,4,tito double p
what is this feeling?,"ariana grande & cynthia erivo / ariana grande, cynthia erivo",2025-01-11,82,7eGuPhpdS8sBjPJNuAShUX,50,-1,0,GB,12/11/2024,83,False,228947,Wicked: The Soundtrack,11/22/2024,0.607,0.48,1,-8.81,1,0.12,0.691,0.0,0.111,0.637,151.909,4,ariana grande
